Date,Sindh_positive,Sindh_tested,Sindh_positivity,Punjab_positive,Punjab_tested,Punjab_positivity,Sindh_positive_v2,Sindh_positivity_v2,Punjab_positive_v2,Punjab_positivity_v2,Ages
2017-01-01,149,5015,0.029710867,11,1274,0.008634223,144,0.028713858,22,0.017268446,All
2017-02-01,159,5641,0.028186492,18,1189,0.015138772,151,0.026768303,28,0.023549201,All
2017-03-01,238,6695,0.035548917,17,1284,0.013239875,234,0.034951456,25,0.019470405,All
2017-04-01,280,6245,0.044835869,22,1352,0.016272189,275,0.044035228,33,0.024408284,All
2017-05-01,390,7033,0.055452865,29,1539,0.018843405,378,0.053746623,27,0.01754386,All
2017-06-01,307,6504,0.047201722,18,1943,0.009264025,298,0.045817958,28,0.014410705,All
2017-07-01,288,7337,0.039253101,18,1904,0.009453782,279,0.038026441,32,0.016806723,All
2017-08-01,267,7446,0.035858179,27,2161,0.012494216,255,0.034246575,42,0.019435447,All
2017-09-01,201,7093,0.028337798,13,2115,0.006146572,197,0.027773862,23,0.010874704,All
2017-10-01,211,7816,0.026995906,18,2259,0.007968127,207,0.026484135,23,0.010181496,All
2017-11-01,169,6591,0.025641026,13,1939,0.006704487,163,0.024730693,27,0.013924703,All
2017-12-01,124,6387,0.019414436,11,1971,0.005580923,116,0.018161891,15,0.00761035,All
2018-01-01,199,7270,0.027372765,17,1927,0.008822003,192,0.026409904,25,0.012973534,All
2018-02-01,188,6534,0.028772574,6,1773,0.003384095,185,0.028313437,14,0.007896221,All
2018-03-01,332,7358,0.045120957,17,1961,0.008669046,328,0.044577331,18,0.00917899,All
2018-04-01,421,7264,0.057957048,24,2082,0.011527378,415,0.057131057,26,0.012487992,All
2018-05-01,535,7986,0.066992236,22,2357,0.009333899,527,0.065990483,31,0.013152312,All
2018-06-01,581,7146,0.081304226,24,2023,0.011863569,579,0.081024349,26,0.0128522,All
2018-07-01,626,8271,0.075686132,52,2213,0.023497515,615,0.074356184,57,0.025756891,All
2018-08-01,594,8241,0.072078631,56,2371,0.023618726,581,0.070501153,65,0.027414593,All
2018-09-01,470,8642,0.054385559,69,2533,0.027240426,462,0.053459847,72,0.028424793,All
2018-10-01,473,9395,0.050345929,57,2793,0.020408163,463,0.049281533,65,0.023272467,All
2018-11-01,371,8121,0.045684029,39,2531,0.015408929,357,0.043960103,54,0.021335441,All
2018-12-01,314,7779,0.040365085,72,2761,0.026077508,298,0.038308266,88,0.03187251,All
2019-01-01,363,9061,0.040061803,80,3044,0.026281209,345,0.038075268,96,0.031537451,All
2019-02-01,384,10234,0.037521986,108,3062,0.035271065,356,0.034786007,135,0.044088831,All
2019-03-01,503,11363,0.044266479,236,3753,0.062883027,457,0.040218252,269,0.071675993,All
2019-04-01,775,10460,0.074091778,317,4342,0.07300783,709,0.067782027,375,0.08636573,All
2019-05-01,998,10701,0.093262312,382,4781,0.079899603,898,0.083917391,460,0.096214181,All
2019-06-01,983,11068,0.088814601,398,4391,0.090639945,888,0.080231297,471,0.10726486,All
2019-07-01,1224,13042,0.093850636,540,5726,0.094306671,1072,0.082195982,652,0.113866574,All
2019-08-01,1229,13227,0.092916005,622,6068,0.102504944,1092,0.082558403,725,0.119479235,All
2019-09-01,1256,16269,0.077202041,574,6494,0.088389282,1123,0.069026984,663,0.102094241,All
2019-10-01,1385,18551,0.074659048,421,6134,0.068633844,1260,0.067920867,512,0.083469188,All
2019-11-01,1132,14827,0.076347204,326,5094,0.063996859,1030,0.069467863,395,0.077542207,All
2019-12-01,926,11430,0.081014873,248,4561,0.054374041,723,0.063254593,254,0.055689542,All
2020-01-01,735,11852,0.06201485,275,4205,0.065398335,640,0.053999325,251,0.059690844,All
2020-02-01,644,13112,0.049115314,317,4725,0.067089947,547,0.041717511,315,0.066666667,All
2020-03-01,753,10378,0.072557333,416,4956,0.08393866,660,0.063596069,427,0.086158192,All
2020-04-01,370,6371,0.058075655,249,3395,0.073343152,341,0.05352378,264,0.077761414,All
2020-05-01,311,7204,0.043170461,155,3631,0.042687965,291,0.040394225,147,0.040484715,All
2020-06-01,309,10053,0.030737093,148,5482,0.026997446,285,0.028349746,151,0.027544692,All
2020-07-01,342,9416,0.036321155,120,4235,0.028335301,318,0.033772302,109,0.025737898,All
2020-08-01,307,8614,0.035639656,205,4474,0.045820295,285,0.033085674,197,0.044032186,All
2020-09-01,430,11616,0.037017906,265,5412,0.048965262,383,0.032971763,274,0.050628234,All
2020-10-01,421,11812,0.03564172,331,5652,0.05856334,379,0.032086014,345,0.06104034,All
2020-11-01,378,10414,0.036297292,193,4490,0.04298441,339,0.032552333,204,0.045434298,All
