"","age","Location","value"
"1",0,"Low-income countries",0.0325184551084378
"2",1,"Low-income countries",0.0315223516198881
"3",2,"Low-income countries",0.0307048687735669
"4",3,"Low-income countries",0.029965359372041
"5",4,"Low-income countries",0.0292563785565282
"6",5,"Low-income countries",0.028522501745201
"7",6,"Low-income countries",0.0277785082098075
"8",7,"Low-income countries",0.027059295692437
"9",8,"Low-income countries",0.0264140707230906
"10",9,"Low-income countries",0.0258523857095477
"11",10,"Low-income countries",0.0253506609534687
"12",11,"Low-income countries",0.0249010072602991
"13",12,"Low-income countries",0.0244231906161364
"14",13,"Low-income countries",0.0239172136641484
"15",14,"Low-income countries",0.0234081204175362
"16",15,"Low-income countries",0.02289206771058
"17",16,"Low-income countries",0.0223440392833387
"18",17,"Low-income countries",0.0217553688499775
"19",18,"Low-income countries",0.021162379480725
"20",19,"Low-income countries",0.0205612478336185
"21",20,"Low-income countries",0.0199717672693818
"22",21,"Low-income countries",0.0194082498798862
"23",22,"Low-income countries",0.0188518194835722
"24",23,"Low-income countries",0.0182789492454526
"25",24,"Low-income countries",0.0176933805692938
"26",25,"Low-income countries",0.0170679416919602
"27",26,"Low-income countries",0.0164774012175078
"28",27,"Low-income countries",0.0159708493765623
"29",28,"Low-income countries",0.0154652907058502
"30",29,"Low-income countries",0.0148737108057311
"31",30,"Low-income countries",0.0142939154684466
"32",31,"Low-income countries",0.0137485771250508
"33",32,"Low-income countries",0.0131647886222841
"34",33,"Low-income countries",0.0126279632610009
"35",34,"Low-income countries",0.0121479732722626
"36",35,"Low-income countries",0.0116926856673106
"37",36,"Low-income countries",0.0112501255752417
"38",37,"Low-income countries",0.0108137954292535
"39",38,"Low-income countries",0.0103697492161901
"40",39,"Low-income countries",0.00992214992505331
"41",40,"Low-income countries",0.0094995259247596
"42",41,"Low-income countries",0.00913096329259338
"43",42,"Low-income countries",0.00881706863552346
"44",43,"Low-income countries",0.00850588719001566
"45",44,"Low-income countries",0.00816658111944532
"46",45,"Low-income countries",0.00780300680537028
"47",46,"Low-income countries",0.00744597763511471
"48",47,"Low-income countries",0.00713716711096222
"49",48,"Low-income countries",0.00687049132184304
"50",49,"Low-income countries",0.00661885713885841
"51",50,"Low-income countries",0.00638764737286683
"52",51,"Low-income countries",0.0062213927903493
"53",52,"Low-income countries",0.00603629176190798
"54",53,"Low-income countries",0.00580005006555948
"55",54,"Low-income countries",0.00556834074088768
"56",55,"Low-income countries",0.00533337965925116
"57",56,"Low-income countries",0.00511057252312413
"58",57,"Low-income countries",0.00486000750144186
"59",58,"Low-income countries",0.00458985330373453
"60",59,"Low-income countries",0.00435450698041736
"61",60,"Low-income countries",0.00414257449667167
"62",61,"Low-income countries",0.00392458519432433
"63",62,"Low-income countries",0.00369797453999186
"64",63,"Low-income countries",0.00350383652145714
"65",64,"Low-income countries",0.00331940553600753
"66",65,"Low-income countries",0.00314405515291706
"67",66,"Low-income countries",0.00296243451543961
"68",67,"Low-income countries",0.00272948488436204
"69",68,"Low-income countries",0.00252049028142618
"70",69,"Low-income countries",0.00234143748129174
"71",70,"Low-income countries",0.00214334792716485
"72",71,"Low-income countries",0.00193966476956174
"73",72,"Low-income countries",0.00175233951556804
"74",73,"Low-income countries",0.00163431283024025
"75",74,"Low-income countries",0.00152965726911107
"76",75,"Low-income countries",0.00139304250749435
"77",76,"Low-income countries",0.0012752028262757
"78",77,"Low-income countries",0.00115633825681232
"79",78,"Low-income countries",0.001023638687233
"80",79,"Low-income countries",0.000895635365722846
"81",80,"Low-income countries",0.000778902510945142
"82",81,"Low-income countries",0.000672241446384141
"83",82,"Low-income countries",0.000574345125651662
